"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor"
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"52.4";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"54.9";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"51.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"50.2";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"46.2";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"53.5";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"69.4";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"57";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2024";"50.7";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"50.6";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"53.1";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"49.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en alquiler, según sexo, grupos de edad y TTHH";"2023";"49.4";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
